月份,城市,缴费总额
2025-09,上海,397044
2025-09,北京,375294
2025-09,南京,427462
2025-09,广州,400799
2025-09,成都,391824
2025-09,杭州,440829
2025-09,武汉,422400
2025-09,深圳,355386
2025-09,西安,405502
2025-09,重庆,429436
2025-10,上海,500983
2025-10,北京,411747
2025-10,南京,407963
2025-10,广州,485913
2025-10,成都,441490
2025-10,杭州,468121
2025-10,武汉,428118
2025-10,深圳,374311
2025-10,西安,412647
2025-10,重庆,401743
2025-11,上海,333682
2025-11,北京,376449
2025-11,南京,406788
2025-11,广州,392985
2025-11,成都,526694
2025-11,杭州,438258
2025-11,武汉,437832
2025-11,深圳,410214
2025-11,西安,396504
2025-11,重庆,429286
2025-12,上海,437288
2025-12,北京,533573
2025-12,南京,425960
2025-12,广州,373805
2025-12,成都,426264
2025-12,杭州,381881
2025-12,武汉,456298
2025-12,深圳,404495
2025-12,西安,404844
2025-12,重庆,456386
2026-01,上海,408772
2026-01,北京,396468
2026-01,南京,394637
2026-01,广州,416414
2026-01,成都,335950
2026-01,杭州,412206
2026-01,武汉,423871
2026-01,深圳,424073
2026-01,西安,412125
2026-01,重庆,406884
2026-02,上海,385856
2026-02,北京,360944
2026-02,南京,432374
2026-02,广州,408712
2026-02,成都,386813
2026-02,杭州,352623
2026-02,武汉,353097
2026-02,深圳,341300
2026-02,西安,329698
2026-02,重庆,441466
