月份,课程类别,缴费总额
2025-09,亲子游泳,709365
2025-09,少儿游泳,662503
2025-09,成人游泳,662622
2025-09,私教课程,596751
2025-09,考级课程,683796
2025-09,集训课程,730939
2025-10,亲子游泳,745877
2025-10,少儿游泳,747342
2025-10,成人游泳,653863
2025-10,私教课程,614441
2025-10,考级课程,723840
2025-10,集训课程,847673
2025-11,亲子游泳,699096
2025-11,少儿游泳,768637
2025-11,成人游泳,664350
2025-11,私教课程,589108
2025-11,考级课程,688120
2025-11,集训课程,739381
2025-12,亲子游泳,644600
2025-12,少儿游泳,739931
2025-12,成人游泳,754873
2025-12,私教课程,677055
2025-12,考级课程,695223
2025-12,集训课程,789112
2026-01,亲子游泳,756431
2026-01,少儿游泳,634844
2026-01,成人游泳,657952
2026-01,私教课程,581373
2026-01,考级课程,670176
2026-01,集训课程,730624
2026-02,亲子游泳,634399
2026-02,少儿游泳,717355
2026-02,成人游泳,600003
2026-02,私教课程,615622
2026-02,考级课程,605672
2026-02,集训课程,619832
