订单ID,用户ID,课程名称,课程类目,缴费数量,单价,缴费金额,缴费日期,学员省份,支付方式,缴费状态
ORD202600001,U93810,少儿启蒙,少儿游泳,10,81,810,2025-11-22,湖北,微信,已支付
ORD202600002,U81482,少儿启蒙,少儿游泳,5,117,585,2025-09-28,广东,微信,已支付
ORD202600003,U13478,考级冲刺,考级课程,10,205,2050,2026-03-19,陕西,微信,已支付
ORD202600004,U10851,成人进阶,成人游泳,5,144,720,2025-12-01,江苏,微信,已支付
ORD202600005,U23396,少儿启蒙,少儿游泳,1,104,104,2025-12-18,河南,支付宝,已支付
ORD202600006,U80284,少儿启蒙,少儿游泳,1,104,104,2025-12-05,安徽,支付宝,已支付
ORD202600007,U16006,暑期集训,集训课程,10,134,1340,2025-10-11,湖北,支付宝,已支付
ORD202600008,U69429,暑期集训,集训课程,5,173,865,2025-12-24,安徽,微信,已支付
ORD202600009,U99593,暑期集训,集训课程,10,124,1240,2025-11-03,湖北,微信,已支付
ORD202600010,U93886,暑期集训,集训课程,1,155,155,2025-12-13,上海,微信,已支付
ORD202600011,U51347,亲子游泳,亲子课程,1,167,167,2026-02-13,湖南,微信,已支付
ORD202600012,U94259,亲子游泳,亲子课程,1,159,159,2025-11-23,河南,支付宝,已支付
ORD202600013,U86484,亲子游泳,亲子课程,1,173,173,2025-10-26,重庆,微信,已支付
ORD202600014,U24371,成人进阶,成人游泳,1,140,140,2026-03-14,陕西,支付宝,已支付
ORD202600015,U88104,亲子游泳,亲子课程,1,183,183,2026-02-09,北京,支付宝,已支付
ORD202600016,U80381,一对一私教,私教课程,1,287,287,2026-01-10,山东,微信,部分退款
ORD202600017,U44522,考级冲刺,考级课程,5,202,1010,2025-10-18,福建,支付宝,已支付
ORD202600018,U36071,成人进阶,成人游泳,10,123,1230,2026-02-06,北京,支付宝,已支付
ORD202600019,U24662,一对一私教,私教课程,1,278,278,2025-11-21,广东,微信,已支付
ORD202600020,U19071,考级冲刺,考级课程,1,196,196,2026-01-20,山东,微信,已退款
ORD202600021,U65461,成人进阶,成人游泳,10,134,1340,2026-03-16,四川,支付宝,已支付
ORD202600022,U98039,暑期集训,集训课程,5,143,715,2026-01-31,辽宁,微信,已支付
ORD202600023,U54313,少儿启蒙,少儿游泳,10,117,1170,2026-02-18,湖北,微信,已支付
ORD202600024,U17716,成人进阶,成人游泳,20,104,2080,2025-12-14,广东,微信,已支付
ORD202600025,U73624,成人进阶,成人游泳,1,134,134,2026-02-14,重庆,微信,已支付
ORD202600026,U63354,成人进阶,成人游泳,1,106,106,2026-01-09,安徽,微信,已支付
ORD202600027,U17100,暑期集训,集训课程,30,161,4830,2025-10-16,上海,微信,已支付
ORD202600028,U24322,成人进阶,成人游泳,1,112,112,2026-01-13,江苏,微信,已支付
ORD202600029,U42742,少儿启蒙,少儿游泳,20,108,2160,2026-02-08,浙江,微信,部分退款
ORD202600030,U11934,少儿启蒙,少儿游泳,1,95,95,2026-01-23,重庆,微信,已支付
ORD202600031,U17685,成人进阶,成人游泳,1,124,124,2025-12-29,河南,银行卡,已支付
ORD202600032,U47388,亲子游泳,亲子课程,30,194,5820,2026-02-10,重庆,微信,已支付
ORD202600033,U17665,考级冲刺,考级课程,1,249,249,2025-12-10,上海,微信,已支付
ORD202600034,U79615,成人进阶,成人游泳,30,103,3090,2025-10-11,山东,微信,已支付
ORD202600035,U40828,亲子游泳,亲子课程,20,157,3140,2026-02-13,湖北,支付宝,已支付
ORD202600036,U20745,亲子游泳,亲子课程,10,192,1920,2026-02-01,湖南,银行卡,已支付
ORD202600037,U51180,成人进阶,成人游泳,5,116,580,2026-03-11,福建,微信,已退款
ORD202600038,U19508,少儿启蒙,少儿游泳,10,109,1090,2026-02-12,浙江,微信,已支付
ORD202600039,U44760,成人进阶,成人游泳,20,122,2440,2025-11-22,安徽,微信,已支付
ORD202600040,U81200,暑期集训,集训课程,10,139,1390,2026-03-07,北京,支付宝,已支付
ORD202600041,U96951,少儿启蒙,少儿游泳,1,88,88,2025-10-18,江苏,微信,已支付
ORD202600042,U54942,成人进阶,成人游泳,10,143,1430,2025-11-27,重庆,微信,已退款
ORD202600043,U16658,少儿启蒙,少儿游泳,5,120,600,2025-11-30,上海,微信,已支付
ORD202600044,U93507,一对一私教,私教课程,10,241,2410,2026-02-09,陕西,支付宝,已支付
ORD202600045,U29536,考级冲刺,考级课程,20,184,3680,2026-02-17,江苏,微信,已支付
ORD202600046,U57795,少儿启蒙,少儿游泳,1,102,102,2025-11-23,浙江,微信,已支付
ORD202600047,U63264,考级冲刺,考级课程,20,199,3980,2025-11-20,山东,银行卡,待支付
ORD202600048,U64040,少儿启蒙,少儿游泳,10,91,910,2025-12-15,陕西,支付宝,已退款
ORD202600049,U42527,一对一私教,私教课程,10,240,2400,2025-10-18,河北,支付宝,已退款
ORD202600050,U39154,成人进阶,成人游泳,5,129,645,2025-11-18,湖北,微信,已支付
ORD202600051,U53025,一对一私教,私教课程,30,217,6510,2025-12-01,安徽,支付宝,已支付
ORD202600052,U80282,一对一私教,私教课程,1,207,207,2025-11-26,山东,支付宝,部分退款
ORD202600053,U15014,少儿启蒙,少儿游泳,5,118,590,2025-12-10,陕西,支付宝,已支付
ORD202600054,U60488,考级冲刺,考级课程,1,204,204,2026-01-10,北京,微信,待支付
ORD202600055,U97900,成人进阶,成人游泳,5,123,615,2026-03-10,湖南,支付宝,已支付
ORD202600056,U26334,暑期集训,集训课程,5,177,885,2025-12-09,陕西,微信,已支付
ORD202600057,U82667,成人进阶,成人游泳,5,112,560,2025-12-27,山东,支付宝,已支付
ORD202600058,U81819,少儿启蒙,少儿游泳,1,99,99,2026-01-09,湖南,微信,已支付
ORD202600059,U38010,考级冲刺,考级课程,10,240,2400,2025-11-03,广东,微信,已支付
ORD202600060,U91167,一对一私教,私教课程,20,223,4460,2025-11-20,福建,微信,已支付
ORD202600061,U13201,少儿启蒙,少儿游泳,30,95,2850,2026-02-24,广东,微信,已退款
ORD202600062,U85454,成人进阶,成人游泳,10,145,1450,2026-01-25,河北,微信,已支付
ORD202600063,U10726,少儿启蒙,少儿游泳,1,107,107,2026-03-18,辽宁,微信,已支付
ORD202600064,U25906,亲子游泳,亲子课程,20,158,3160,2026-03-10,湖南,银行卡,已退款
ORD202600065,U90301,暑期集训,集训课程,5,177,885,2026-02-08,辽宁,支付宝,已支付
ORD202600066,U72216,亲子游泳,亲子课程,10,166,1660,2026-03-03,河南,支付宝,已支付
ORD202600067,U92149,成人进阶,成人游泳,5,117,585,2025-12-03,湖北,微信,已支付
ORD202600068,U80798,少儿启蒙,少儿游泳,1,88,88,2025-12-28,江苏,支付宝,已支付
ORD202600069,U63424,一对一私教,私教课程,5,338,1690,2025-10-06,四川,支付宝,已支付
ORD202600070,U86556,暑期集训,集训课程,20,121,2420,2026-02-15,河北,微信,已退款
ORD202600071,U49139,亲子游泳,亲子课程,5,176,880,2026-02-07,湖北,微信,已支付
